=============PAGESTART=1,PAGEEND=10
【阿肥】	a33 bui53	胖子〈谑〉▷～伯|～奶|～姐|～嫂|～弟。
【喙】	cui213	嘴巴，嘴▷拭～（擦嘴巴）|～真甜（嘴巴很甜）|鸟团～野大（小鸟嘴巴很大）。②口，口儿，口子▷瓶瓶～（瓶口）|碗～缺去（碗口缺了）|门～（门口上）。③（量）（开伙的）人口▷厝𠲥有八～食饭（家里有八口人吃饭）。|食蜀～（吃一口）。
【喙喙】	cui21 cui213	口子，口儿，开口处▷趁～摒出来（从口儿里倒出来）。
【喙厚】	cui21 gau242	胃口不好，不想吃东西▷伓通直透乞糖食，等囇～伓食饭（别老给糖吃，一会儿不想吃饭）。
【喙霍】	cui53 dooyk24	口罩。
【喙（讲）师】	cui21 (goung33) sa55	嘴皮子能说 （往往指能说不能干） ▷伊就是～，底同看见伊做了（他只是会说，什么时候看见他动手干了）?
【喙穓】	cui21ie212	嘴馋，爱吃零食。
【喙头】	cui33 lau53	对吃食的适应习惯▷～好（不挑食），～呆（挑食）。
【喙舌】	cui55 (cy55) liek5	舌头。
【喙舌囝】	cui55 (cy21) liek53 giang33	小舌。
【喙舌尾】	cui24 (cy24) liek53 mui33	舌尖。
【喙须】	cui55 (cy55) liu55	胡子、胡须。
【喙势】	cui53 lie213	口形▷只隻伲囝～野俊（这孩子口形很美）。
【喙码】	cui53 ma33	口才，口语表达能力▷伊～真好，吼伊去讲（他很会说话，让他去说）。
【喙尾】	cui52mui31	①嘴角②口中余味▷者𣏫食～野苦（这柚子余味很苦）。
【喙硬股川软】	cui24 ngaing242 gu21 juong55 nuong33	嘴硬而▷虚，说得很硬而结果做不到▷伊者“～”〈俗〉遘吵事去伊走第一快（他这个人只是嘴皮子硬，到出了什么事他溜得最快）、参见（股川）gu21üong5。
【喙（⿰卑页）】	cui(cü53)we31	①脸颊▷只隻伲囝哥～赘赘势，野有味（这个孩子脸颊胖嘟嘟的，真逗）。②耳光▷摔伊蜀～（打他一耳光）。
【喙皮】	cui55 wui53	嘴唇。
【喙挤】	cui21 ze33	嘴巴不饶人，常指小孩。▷只隻伲囝哥～，汝讲蜀句，伊会讲两三句（这孩子嘴巴不锩人，你说一句，他说两三句）。
【春菜】	cung53 jai213	莴苣的叶子，味苦，其茎称为莴笋。
【春饼】	cung53 miang53	①春卷儿。②春卷皮儿，包春卷儿用的薄面饼▷拍～（制作春卷皮儿）。
【春饼壳】	cung21 miang55 kooyk24	春卷皮儿。
【䲠籽】	cung53 ji33	一种海鱼，可食用，形似黄鱼，体略小。
【睶】	cung33	①想睡觉▷只片电影看会～（这片电影看了令人发睏，先去睡觉）我野～去了，先去睏（我很睏了，先去睡觉）。②打瞌睡▷冥晡伓去睏，上班都是坐𠲥～（夜里不去睡，上班都是坐在那里打瞌睡）。
【搓】	cuo55	①旋转▷盖盖～{𫧃,儥}起（盖子旋不开）|～野快（旋转得很快）②转，转身▷头～过来（把头转过来）|～过来～过去，头～晕去（转过来转过去，头都转晕了）。
【搓搓圆】	cuo21 juo55 ieng53	①形容很圆，圆溜溜▷面生～（脸蛋长得圆溜溜的）。②圆滑,周全▷者话讲～，别人也无乇讲（这话说得极圆全，别人也没什么好说了）|伊会做侬，逢人都应付～（他会做人，对谁都应付得很周全）。
【搓螺风】	cuo44leü44ung44	旋风。
【搓螺纹】	cuo44leü44ung53	螺纹。
【搓红】	cuo33 ung53	杨梅。
【厝】	cuo213	①房子房屋，住处▷住单位其～（住单位的房子）|汝～着{底呢,底所}（你的住处在哪里）|撤～（拆房子）|起～（盖房子）。②家，家庭▷～𠲥几隻侬（家里几个人）|～𠲥真逼（家里很穷）。
【厝脊】	cuo53 jeik24	屋脊。
【厝租】	cuo55 ju55	房租。
【厝主】	cuo53 juo33	房东。
【厝契】	cuo53 kie213	房契。
【厝壳】	cuo53 kooyk24	房子的四围及整体占地面积，房子的建筑面积、参见【厝肉】。
【厝𠲥】	cuo23le	家里无钱（家里没钱）。
【厝裡】	cuo53 lie33	①屋里的，旧时指称妻子▷我着转去食，我～会等我（我得回家吃饭，我老婆会等我的）。
【厝身】	cuo55 ling55	①指房屋建筑本身，不包括其中的摆设和装饰▷者厝～{固,故}很好，就是恰无收拾去（这房子建筑结构还不错，不过太缺乏维修保养了）。②指房屋的框架▷～好了，差粉刷和装门窗（房屋的框架好了，就差粉刷和装门窗）。
【厝身裡】	cuo21 ling53 nie33	屋子里面，房屋内部▷外斗看{固,故}无呆，～真破损（从外面看还不错，房屋内部太破旧）。
【厝瓦】	cuo53 ngua242	铺在屋顶上的瓦片▷～复乞猫囝拍破去（屋顶的瓦片又让猫给打破了）。
【厝瓦顶】	cuo21 ngua53 ling33 铺瓦的屋顶▷伓嗵爬～去，会跋（别爬上屋顶，当▷摔了）。
【厝肉】	cuo55 nyk5	房子内可供使用的面积▷只落厝有厝壳无厝肉（这座房子建筑面积不小但居住面积不多）。参见[厝壳]。
【厝边】	cuo55 wieng55	①房子旁边▷～栽几兜树（房子旁边种几棵树）。②近邻，住在附近的邻居▷伊是我～（他是我的近邻）|金～，银乡里〈谚〉谓处理好邻居街坊之间关系为重要。
【厝边邻舍】	cuo24 wieng53 ning213 nia213	邻居和街坊的统称▷底主有事计，～都会行前（哪一家有事，邻居街坊们都会挺身而出）。
【粟】	cuok24	稻谷▷砻砻～，糠养猪，米养侬〈谣〉（谷砻磨稻谷，稻谷磨呀磨，糠养猪，米养人。这是与幼儿推手游戏时所唱儿歌）。
【粟壳】	cuo53 kooyk24	谷壳。
【粟𥭘】	cuo55 lai55	筛谷子用的大筛子。
【粟担】	cuo53 lang213	挑谷子的担子。
【粟埕】	cuo55 liang53	打谷晒谷的场地。
【粟种】	cuo55 zyng33	谷种。
【雀】	cuok24	麻将牌戏的术语，指一副和牌中花色点数相同的两张牌。
【掇】	cuok24	①洗衣时搓洗的动作▷领头{固,故}着介～囇（领口还要再搓一遍）。②搓揉▷骰腹头肿去快～几下〈膝盖肿了，快搓揉几下）。
【啜】	cuok24	喝，饮▷～开水|～饮（喝米汤）|～药去（把药喝下去）。
【惙憬】	cuo33 luok5	受惊时身体的反射性动作▷闹钟响，我会～起去（闹钟响时，我惊而起）|害我～蜀下（害我吓了一跳）。
【叕】	cuok5	理睬（多用于否定句）伊告我，我无～伊（他叫我，我不理睬他）.
【（⿰扌蓆）】	cuok5	摇动容器，使容器内的东西翻滚，使之均匀的动作。
【蓆】	cuok5	席子▷竹～|宁波～。
【穿心爿】	cuong21 ning55 meing53	竖心旁（汉字偏旁）。
【墙头戏】	cuong53 lau21 ie213	木偶戏。包括[布袋戏]buo2ilei3ie213。
【抢鼎】	cuong24 niang33	①炝锅，炒菜时先将锅内的油烧热，再倒入要炒的菜肴，加水煮②抢火候，迅速地烧炒（菜肴）▷只几碗菜都是～其，无味不素（这几碗菜都是急匆匆地烧了出来的，没什么味道）。③赶制急就的（作品）▷只份报告～其汝改蜀下（这份报告急急忙忙写的，你修改一下）。
【唱伬】	cuong55 cie55	一种民间曲艺形式，参见[伬唱]
【唱饭】	cuong53 muong242	福州地方风俗，出丧之前家人将一日三餐饭菜供于死者床前，口中念念有词，请亡灵进餐。
【唱汤】	cuong55 noung55	福州地方风俗，死人出丧之前，家人早晚置热水于死者床前，口中念念有词，请亡灵沐浴。
【上】	cuong242	用吊桶打（水）▷无自来水，着去井𠲥～（没有自来水，得去井里打）。
【像子】	cuong53 jy33	像样▷今旦颂野～（今天穿得很像梯）|{什乇,世乇}事计都做{𫧃,儥}～（什么事都做得不像个样儿）。
【舒】	cy55	①铺，舒张▷～被单（铺床单）|～饭桌（将折合的饭桌支起来）②舒畅，舒心▷伊现刻脑野～，三个囝都工作去了（他现在很舒▷，三个儿子都工作了）。
【伺】	cy53	偷窃，私自拿去别人的东西▷乞侬～去（被人偷走了）|者乇{底呢,底所}～其（这东西哪儿偷来的）?
【此刻】	cy55 kaik24	①马上，立刻▷我～就行（我马上就走）②刚才▷伊～{固,故}着房裡，只盘行{底呢,底所}去（她刚才还在屋里，现在跑到哪儿去了）?也说[此辰此刻]cü21ling21cü44kaik23。
【觑病】	cy53 bang242	看望病人。
【觑白白】	cy21 wa55 wak5	眼睁睁地，干瞪眼▷目睭～看别人趁钱（看着别人赚钱只能干瞪眼）。
【箠囝】	cy24 giang21	小棒儿，小棍儿。
【充身】	cyng55 ning55	（衣服）合身。
【充容】	cyng55 ning55	充裕，宽裕▷伊手头最近比较～（他的手头近来比较宽裕）。
【冲瓯】	cyng55 ngeu55	带盖儿的茶盅。
【瘲】	cyng53	骨关节韧带扭伤。
【瘲药】	cyng33 ngyok5	治疗骨关节韧带扭伤的外敷药。
【铳籽】	cyng53 ji33	枪子儿，子弹▷饭共～蜀样，蒋样食其（饭粒像子弹怎能吃呢）?
【燋】	da55	①干，干燥▷衣裳未曝～（衣服还没晒干）|蜀身汗{固,故}未～复着行了（浑身汗还没干又得走了）。②干渴，渴▷喙野～（口很渴）。
【燋松】	 da55 leoyng44	干燥，干爽▷只两日者天气真～（这两天的天气很干爽）。
【燋酥天】	da24 lu55 lieng55	干爽的天气。
【燋酥酥】	da21 lu55 lu55	形容非常干燥▷曝𠲥～（晒得干干的）。也说[燋磕磕]da4kouk3kouk（kotk5kouk2）。
【茶】	da53	中药（讳）▷熬（熬中药）|者～真（⿰口兜）（这药很苦）
【茶龊】	da21 ceoyk24	茶垢，茶锈。
【茶䀇】	da33 gu33	用于烹茶烧水的金属大壶。
【茶囝】	da33 iang33	治疗轻微小病的中草药。
【茶枯】	da55 ku55	油茶籽榨油之后的渣，压成饼状，称茶枯，敲碎后泡水，可作洗涤剂。
【茶摊】	da55 lang55	小茶馆。
【茶食】	da24 lik5	一种小吃，用发酵的面条油炸而成，香酥发脆，常泡入汤中佐食。
【茶食蛎】	da24 lik53 die242	一种地方风味菜肴，将油炸的面食泡入鲜海蛎的汤汁中。参见[茶食]。
【茶桌】	da21 looh24	茶几。
【茶箬】	da55 nuok5	茶叶。
【茶粕】	da21 poh24	茶叶渣子。
【茶婆】	ta55 wo53	沏茶用的茶壶。
【打单】	da55 lang55	踉跄▷～几下跋落去（踉跄几步，摔了下去）。
【打单睨】	da21 lang24 nge33	斜着眼看▷者侬目睭会做～、～，我看无好乇（这人斜着酸看人，我看不是好东西）。
【打单眩】	da21 lang55 nging53	头晕而站立不稳▷病未好，行（⿰土𠬤）会～（病未愈，走路时头晕得历害）。
【打单横】	da21 lang55 nguang24	横、横着▷～介钉蜀条（横着再钉一根）|伊～倒眠床𠲥（他打横躺在床上）。
【诈癫】	da55 dieng55	装疯卖傻▷“食马屎”～〈俗〉（装疯卖傻）。
【诈迷梦】	da21 mi53 moung213	佯装不知▷伊真绝，我去伊，伊共我～（他真狡猾，我问他，他装作不知道）|“～食老羊蹄”〈俗〉（假装不知图取小惠，语出《闽都别记》）。
【诈（⿰显火）】	da53 nguang242	装傻。
【诈死】	da53 si33	装作没听见、没看见或不知道，装蒜▷我告伊几声，伊～伓应我（我叫他儿声，他装作没听见，不答应我）|汝无～，只件事计我昨冥乍共汝讲过（你别在那儿装蒜，这件事我昨天刚跟你说过）。也说[诈死腻]da21lcU213
【诈　】	da55 ze55	装糊涂，假裝忘记了▷伊{𫧃,儥}遘{𫧃,儥}记去，硬～（他不会忘记的，一定是装糊涂）。
【咋使】	da53 lai53	何必，何需▷写批告伊来蜀头，～汝自家去（写封信叫他来趟，何必你自己去呢）|{俪,㑚}三个侬食饭，～煮{只,这}{般,满}価（只有一人吃饭，何需煮这么多）。
【豆腐囝】	da24 u24 iang33	豆腐脑儿。
【豆腐箸】	da21 u53 leoy242	腐竹。也说（腐箸）。
【豆腐蛎】	da24 u55 lie242	地方风味菜肴，海蛎与豆腐熬成的汤。因福州话“蛎”与“弟”谐音，成为节日家宴的伶统菜肴，以图吉利。
【豆魔泡】	da24 u55 pau55	油炸豆腐，中心空，成泡状。也说[烰豆干]pu21lau44uang44。
【豆腐枣】	da24 u53 zo33	形状如枣的小块油炸豆腐。
【脰𦜩】	da53 oouk24	脖子。
【䆛】	da242	遮，掩盖▷日头乞只兜树都～去（太阳光都让这棵树给遮了）。
【硩】	dak24	压▷手～心肝𠲥睏会做恶梦（手压在胸脯上睡觉会做恶梦）|皮箱伓嗵掏～（不要压着皮箱）。②回赠（食品），福州旧风俗在接受食物馈赠之后，送还容器时要附上回赠的东西，以求吉利▷框盒～两块𠲥饼回敬（在人家送来的盒子中放两块𠲥饼表示回敬）。③（赌场上）下注▷今旦野𤸬，～几回输几回（今天手气不好，下几次赌注就输几次）。
【硩红】	da44 eoyng53	福州风俗，馈赠礼品如无红色包装则加放小片红色的纸片、布头或桔子皮，谓之硩红以求吉利▷送伊索面着～（送给他的细面条要点缀上红色纸）。
【硩惊】	da55 gaing24	压惊。
【硩纸】	da53 jai33	扫墓。福州地方风俗，扫墓之后，将冥钱置于坟头，用小石子压住。
【硩厝脊】	da21 juo53 jeik24	喻指姑娘过了适当婚龄尚未出嫁〈贬〉者诸侬囝{只,这}{般,满}懒，明旦会～（这姑娘这么懒，将来嫁不出去）。
【硩桶囝】	da21 leoyng24 ngiang33	随母亲改嫁的孩子〈贬〉北方称“拖油瓶“。
【硩落】	da55 loh5	使蒙受羞辱，辱没▷会做{总款,这样款}其事计，蜀厝侬都乞伊～去（竟干出这种事来，一家人都因他蒙受羞辱）。
【硩落侬】	da21 loh5 neoyng53	丢人，丧失体面▷侬无钱无乇～，做呆事乍～（一个人没有钱没什么丢人的，干坏事才叫丢人〕。
【硩船底】	da53 lung33 ne33	诅咒人将被压在船底下淹死，意为“不得好死”〈詈〉。
【硩被】	da53 pui242	盖上被子后再加盖（毯子、衣物等）▷暝晡真清，只件大衣介掏去～（夜里很冷，这件大衣再压上）。
【硩花树】	da21 ua53 jiu213	养女，旧俗调抱养女儿可使养母生男儿。
【硩岁】	da53 ui213	给压岁钱，过年时长辈给孩子一些钱物的求吉利。
【硩岁钱】	da21 ui55 jieng53	压岁钱。
【搭】	dak24	到达（某一确定位置），达到（某一标准）▷门无关～（门没有关严）|讲话音咬{𫧃,儥}～（说话音咬得不准）|行遘～壁（走到紧靠墙壁的地方）|只句话讲真～（这句话说得一针见血）|咸下{𫧃,儥}～（加盐加得不够，不够咸）。
【搭搭】	dak5 dak24	刚好，恰巧▷我～乍遘厝，伊就来了（我刚巧到家，他来了）|我今旦～身𠲥有十块钱，汝先掏去（我今天身上刚好有十元钱，你先拿去）。也说[搭搭好]。
【搭搭好】	dak21 dak24 ho33	同[搭搭]、[搭搭𣹇]da2lda21ko53。
【搭幔】	dak21 mang55	勾搭女性，如北京话说的“拍婆子”〈黑〉②谑称交异性朋友，谈恋爱，约会〈新〉。
【搭】	dak24	拍打▷汝替伊𩩍～几下（你帮他拍几下背部）|伊桌～蜀下徛起去（他拍案而起）|心肝～～伓惊菩萨〈谣〉拍拍胸脯，问心无愧，（在菩萨面前也不害怕）。
【搭心肝】	dak21 sing55 ngang55	拍胸脯（保）▷只件事计无问题，我有敢共汝～（这件事没问题，我敢跟你拍胸脯）。
【搭】	dak24	搭乘▷～车（乘车）|～船（乘船）|～飞机（乘飞机）。
【𨱏】	dak24	（门窗等）搭住扣上▷门{俪,㑚}使～囇，伓使锁（门只要搭上，不必锁）。
【𨱏𨱏】	dak21 dak24	门扣▷门～呆去，锁{𫧃,儥}上门（门上，门扣坏了，锁不上门）。
【𨱏扣】	dak5 kau213	子母扣。也叫[爆扣] ouk kae213。
【𨱏针】	dak21 zeing55	别针。
【（⿰火沓）】	dak5	置于炉上加温▷～汤（烧热水）|菜汤冻去了，介掏～热囇（汤凉了，再拿去热一下）。②利用锅里的热水给食物保温→▷饭～鼎，{固,故}真热（饭温在锅里，还很热）。
